Key,Source,Context,Changes,English,Russian
Quest_RareCont_JumpStrengthName,Quest,Quest Info,,[D1D5FF]Rare Contract[-] Jump Strength,[D1D5FF]Редкий контракт:[-] Сила прыжка.
Quest_RareCont_JumpStrengthOffer,Quest,Quest Info,,"«This handsome fellow can jump anywhere. Just let me tell you right away, no firearms.\nKill [DECEA3]12 Mountain Lions[-] and collect the necessary ingredients. Then I can create an elixir that will increase the jump strength by [DECEA3]5%[-].\n\nJust keep in mind that you should only hunt them in winter and only at night, and kill them only with a bow or crossbow.»\n\n[DECEA3]- Leshy[-]","«Этот красавец может запрыгнуть куда угодно. Только сразу говорю, никакого огнестрела.\nУбей [DECEA3]12 Пум[-] и собери необходимые ингредиенты. Тогда я смогу создать эликсир, который увеличит на [DECEA3]5%[-] высоту прыжка.\n\nТолько учти, охотиться на них нужно только в зиме и только ночью, а убивать только из лука или арбалета.»\n\n[DECEA3]- Леший[-]"
Quest_RareCont_MobilityName,Quest,Quest Info,,[D1D5FF]Rare Contract[-] Mobility,[D1D5FF]Редкий контракт:[-] Мобильность.
Quest_RareCont_MobilityOffer,Quest,Quest Info,,"«It's almost impossible to catch up with them, let alone run away. Just let me tell you right away, no firearms.\nKill [DECEA3]25 Zombie Dogs, Wolves or Coyotes[-] and collect the necessary ingredients. Then I can create an elixir that will increase your mobility by [DECEA3]1%[-].\n\nJust keep in mind that you should only hunt them at night, and kill them only with a bow or crossbow.»\n\n[DECEA3]- Leshy[-]","«Догнать их почти невозможно, а убежать тем более. Только сразу говорю, никакого огнестрела.\nУбей [DECEA3]25 Зомби собак, Волков или Кайотов[-] и собери необходимые ингредиенты. Тогда я смогу создать эликсир, который увеличит на [DECEA3]1%[-] твою мобильность.\n\nТолько учти, охотиться на них нужно только ночью, а убивать только из лука или арбалета.»\n\n[DECEA3]- Леший[-]"
Quest_RareCont_HiddenStrikeName,Quest,Quest Info,,[D1D5FF]Rare Contract[-] Hidden Strike,[D1D5FF]Редкий контракт:[-] Удар исподтишка.
Quest_RareCont_HiddenStrikeOffer,Quest,Quest Info,,"«At first glance, these creatures are disgusting, but they can still teach us a lot. Just let me tell you right away, no firearms.\nKill [DECEA3]15 Snakes[-] and collect the necessary ingredients. Then I can create an elixir that will increase stealth damage by [DECEA3]10%[-].\n\nJust keep in mind that you should only hunt them in the desert, and kill them only with a bow or crossbow.»\n\n[DECEA3]- Leshy[-]","«На первый взгляд эти твари омерзительны, но всё же они могут многому нас научить. Только сразу говорю, никакого огнестрела.\nУбей [DECEA3]15 Змей[-] и собери необходимые ингредиенты. Тогда я смогу создать эликсир, который увеличит на [DECEA3]10%[-] урон из скрытности.\n\nТолько учти, охотиться на них нужно только в пустыне, а убивать только из лука или арбалета.»\n\n[DECEA3]- Леший[-]"

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Legendary contracts -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

Wasteland_Night,Quest,Quest Info,,Wasteland - Night,Пустошь - Ночь

LegCont_SamplesT1,items,questItem,,[C27E53]Legendary Contract[-] Miniboss Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций минибосов
LegCont_SamplesT1Desc,items,questItem,,"Launches [C27E53]Legendary Contract[-] Miniboss Mutation Samples\n\nBy completing the contract, you will permanently receive a [DECEA3]5%[-] bonus to the mutation samples you receive from minibosses.","Запускает [C27E53]Легендарный контракт:[-] Образцы мутаций минибосов.\n\nВыполнив условия контракта, вы навсегда получите бонус [DECEA3]5%[-] к получаемым образцам мутаций с минибосов."
LegCont_SamplesT2,items,questItem,,[C27E53]Legendary Contract[-] Boss Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций боссов
LegCont_SamplesT2Desc,items,questItem,,"Launches [C27E53]Legendary Contract[-] Boss Mutation Samples\n\nBy completing the contract, you will permanently receive a [DECEA3]2.5%[-] bonus to the mutation samples you receive from bosses.","Запускает [C27E53]Легендарный контракт:[-] Образцы мутаций боссов.\n\nВыполнив условия контракта, вы навсегда получите бонус [DECEA3]2.5%[-] к получаемым образцам мутаций с боссов."
LegCont_SamplesT3,items,questItem,,[C27E53]Legendary Contract[-] Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций
LegCont_SamplesT3Desc,items,questItem,,"Launches [C27E53]Legendary Contract[-] Mutation Samples\n\nBy completing the contract, you will permanently receive a [DECEA3]1%[-] bonus to the mutation samples you receive.","Запускает [C27E53]Легендарный контракт:[-] Образцы мутаций.\n\nВыполнив условия контракта, вы навсегда получите бонус [DECEA3]1%[-] к получаемым образцам мутаций."

Quest_LegCont_SamplesT1Name,Quest,Quest Info,,[C27E53]Legendary Contract[-] Miniboss Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций минибосов.
Quest_LegCont_SamplesT1Offer,Quest,Quest Info,,"«And so we meet again. Glad you can still stand up for yourself.\nThere's a great contract from the botanists outside. Kill [DECEA3]12 Minibosses[-] and they'll tell you how to butcher them properly, which will allow you to collect [DECEA3]5%[-] more samples from them. Just keep in mind that you should only hunt them at night and only in the wasteland. It'll be fun, but I think it's worth it.»\n\n[DECEA3]- Wild[-]","«И вот мы снова встретились. Рад, что ты всё ещё можешь за себя постоять.\nЕсть отличный контракт от ботаников снаружи. Убей [DECEA3]12 Минибоссов[-] и они расскажут, как правильно их разделывать, это позволит собирать с них на [DECEA3]5%[-] больше образцов. Только учти, охотиться на них нужно только ночью и только в пустоши. Будет, конечно, весело, но думаю, оно того стоит.»\n\n[DECEA3]- Дикий[-]"
Quest_LegCont_SamplesT2Name,Quest,Quest Info,,[C27E53]Legendary Contract[-] Boss Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций боссов.
Quest_LegCont_SamplesT2Offer,Quest,Quest Info,,"«And so we meet again. Glad you can still stand up for yourself.\nThere's a great contract from the botanists outside. Kill [DECEA3]3 Bosses[-] and they'll tell you how to butcher them properly, which will allow you to collect [DECEA3]2.5%[-] more samples from them. Just keep in mind that you should only hunt them at night and only in the wasteland. It'll be fun, but I think it's worth it.»\n\n[DECEA3]- Wild[-]","«И вот мы снова встретились. Рад, что ты всё ещё можешь за себя постоять.\nЕсть отличный контракт от ботаников снаружи. Убей [DECEA3]3 Боссов[-] и они расскажут, как правильно их разделывать, это позволит собирать с них на [DECEA3]2.5%[-] больше образцов. Только учти, охотиться на них нужно только ночью и только в пустоши. Будет, конечно, весело, но думаю, оно того стоит.»\n\n[DECEA3]- Дикий[-]"
Quest_LegCont_SamplesT3Name,Quest,Quest Info,,[C27E53]Legendary Contract[-] Mutation Samples,[C27E53]Легендарный контракт:[-] Образцы мутаций.
Quest_LegCont_SamplesT3Offer,Quest,Quest Info,,"«And so we meet again. Glad you can still stand up for yourself.\nThere's a great contract from the botanists outside. Kill [DECEA3]15 Elite Zombies[-], [DECEA3]3 Minibosses[-] and [DECEA3]1 Boss[-] and they'll tell you how to butcher them properly, allowing you to collect [DECEA3]1%[-] more samples from them. Just keep in mind that you should only hunt them at night and only in the wasteland. It'll be fun, but I think it's worth it.»\n\n[DECEA3]- Wild[-]","«И вот мы снова встретились. Рад, что ты всё ещё можешь за себя постоять.\nЕсть отличный контракт от ботаников снаружи. Убей [DECEA3]15 Элитных зомби[-], [DECEA3]3 Минибоссов[-] и [DECEA3]1 Босса[-] и они расскажут как правильно их разделывать, это позволит собирать с них на [DECEA3]1%[-] больше образцов. Только учти, охотиться на них нужно только ночью и только в пустоши. Будет, конечно, весело, но думаю, оно того стоит.»\n\n[DECEA3]- Дикий[-]"

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_DECO -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

zdecoSmallWoodenStructuresVariantHelper,blocks,Variant,,[DECEA3]Design[-] Wooden platforms,[DECEA3]Конструкция:[-] Деревянные платформы
zdecoSmallWoodenStructuresVariantHelperDesc,blocks,Variant,,Wooden platform parts kit,Набор частей деревянной платформы.

zdecoIronStructuresVariantHelper,blocks,Variant,,[DECEA3]Design[-] Iron sheets,[DECEA3]Конструкция:[-] Железные листы
zdecoIronStructuresVariantHelperDesc,blocks,Variant,,Set of Iron sheets parts,Набор частей Железных листов.

zdecoTarpFencesVariantHelper,blocks,Variant,,[DECEA3]Design[-] Tarp fence,[DECEA3]Конструкция:[-] Забор из брезента
zdecoTarpFencesVariantHelperDesc,blocks,Variant,,Set of fence parts with tarp,Набор частей забора из брезента.

zdecoLargeWoodenStructuresVariantHelper,blocks,Variant,,[DECEA3]Design[-] Wooden stakes,[DECEA3]Конструкция:[-] Деревянные колья
zdecoLargeWoodenStructuresVariantHelperDesc,blocks,Variant,,Set of wooden fence parts,Набор частей деревянного забора.
doorWoodLargeGateConst,blocks,block,,Large Wood Gate,Большие деревянные ворота
logWallLeftConst,blocks,block,,Log Wall Left 01,Левая бревенчатая стена 01
logWallLeft2Const,blocks,block,,Log Wall Left 02,Левая бревенчатая стена 02
logWallRightConst,blocks,block,,Log Wall Right 01,Правая бревенчатая стена 01
logWallRight2Const,blocks,block,,Log Wall Right 02,Правая бревенчатая стена 02
logWallLeftSpikesConst,blocks,block,,Log Wall Left Spikes 01,Левая бревенчатая стена с шипами 01
logWallLeftSpikes2Const,blocks,block,,Log Wall Left Spikes 02,Левая бревенчатая стена с шипами 02
logWallRightSpikesConst,blocks,block,,Log Wall Right Spikes 01,Правая бревенчатая стена с шипами 01
logWallRightSpikes2Const,blocks,block,,Log Wall Right Spikes 02,Правая бревенчатая стена с шипами 02
logWallRightSpikesTraderConst,blocks,block,,Log Wall Right Spikes Trader,"Правая бревенчатая стена с шипами, торговец"
logWallPillarConst,blocks,block,,Log Wall Pillar,Столб бревенчатой стены
logWallPillarCapConst,blocks,block,,Log Wall Pillar Cap 01,Верх столба бревенчатой стены 01
logWallPillarCap2Const,blocks,block,,Log Wall Pillar Cap 02,Верх столба бревенчатой стены 02

zdecoBioHazardTentVariantHelper,blocks,Variant,,[DECEA3]Design[-] Big tent,[DECEA3]Конструкция:[-] Большая палатка
zdecoBioHazardTentVariantHelperDesc,blocks,Variant,,Set of parts for a large tent,Набор частей для большой палатки.

zdecoFlagsVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Flags,[FFCEF0]Деко:[-] Флаги
zdecoFlagsVariantHelperDesc,blocks,Variant,,Set of various flags for decoration,Набор разнообразных флагов для декора.

zdecoGarageVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Garage,[FFCEF0]Деко:[-] Гараж
zdecoGarageVariantHelperDesc,blocks,Variant,,Garage Decor Set,Набор декора для гаража.

zdecoElectConstVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Electronics,[FFCEF0]Деко:[-] Электроника
zdecoElectConstVariantHelperDesc,blocks,Variant,,Industrial Electronics Decor Set,Набор декора промышленной электроники.

zdecoSmallVehicleVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Small vehicle,[FFCEF0]Деко:[-] Малый транспорт
zdecoSmallVehicleVariantHelperDesc,blocks,Variant,,Set of small vehicle,Набор малого транспорта.
zdecoBigVehicleVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Large vehicle,[FFCEF0]Деко:[-] Крупный транспорт
zdecoBigVehicleVariantHelperDesc,blocks,Variant,,Set of large vehicle,Набор крупного транспорта.

zdecoCCarsVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Fortification from cars,[FFCEF0]Деко:[-] Укрепление из автомобилей
zdecoCCarsVariantHelperDesc,blocks,Variant,,Set of car enhancements,Набор укреплений из автомобилей.

zdecoSignRoadVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Road signs,[FFCEF0]Деко:[-] Дорожные знаки
zdecoSignRoadVariantHelperDesc,blocks,Variant,,Set of road signs,Набор дорожных знаков.
zdecoSignShopVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Shop signs,[FFCEF0]Деко:[-] Вывески магазина
zdecoSignShopVariantHelperDesc,blocks,Variant,,Set of shop signs,Набор вывесок магазина.
zdecoSignBannersVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Banners,[FFCEF0]Деко:[-] Баннеры
zdecoSignBannersVariantHelperDesc,blocks,Variant,,Set of Banners,Набор баннеров.

zdecoCampingVariantHelper,blocks,Variant,,[FFCEF0]Deco[-] Tents,[FFCEF0]Деко:[-] Палатки
zdecoCampingVariantHelperDesc,blocks,Variant,,Set of tents enhancements,Набор палаток.

cntLootChestHeroStorage,blocks,Container,,[DECEA3]Storage[-] Reinforced Chest,[DECEA3]Хранилище:[-] Укрепленный сундук
cntLootChestHeroStorageDesc,blocks,Container,,A reliable chest for storing 80 items,Надежный сундук для хранения 80 предметов.
cntHardenedChestSecureStorage,blocks,Container,,[DECEA3]Storage[-] Hardened Chest,[DECEA3]Хранилище:[-] Прочный сундук
cntHardenedChestSecureStorageDesc,blocks,Container,,Hardened chest for storing 90 items,Прочный сундук для хранения 90 предметов.
cntHardenedChestSecureT5Storage,blocks,Container,,[DECEA3]Storage[-] Large Hardened Chest,[DECEA3]Хранилище:[-] Огромный прочный сундук
cntHardenedChestSecureT5StorageDesc,blocks,Container,,Large hardened chest for storing 100 items,Большой прочный сундук для хранения 100 предметов.

zStoragePileVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Pile of resources,[DECEA3]Хранилище:[-] Куча ресурсов
zStoragePileVariantHelperDesc,blocks,Variant,,Set of storages from resources,Набор хранилищ из ресурсов.

cntAmmoPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Small,[DECEA3]Хранилище:[-] Небольшая куча боеприпасов
cntAmmoPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Medium,[DECEA3]Хранилище:[-] Средняя куча боеприпасов
cntAmmoPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Large,[DECEA3]Хранилище:[-] Большая куча боеприпасов
cntChemPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Small,[DECEA3]Хранилище:[-] Небольшая куча химии
cntChemPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Medium,[DECEA3]Хранилище:[-] Средняя куча химии
cntChemPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Large,[DECEA3]Хранилище:[-] Большая куча химии
cntMedicPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Medical Pile Small,[DECEA3]Хранилище:[-] Небольшая куча медикаментов
cntMedicPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Medical Pile Large,[DECEA3]Хранилище:[-] Большая куча медикаментов
cntFoodPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Small,[DECEA3]Хранилище:[-] Небольшая куча еды
cntFoodPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Medium,[DECEA3]Хранилище:[-] Средняя куча еды
cntFoodPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Large,[DECEA3]Хранилище:[-] Большая куча еды
cntBookPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Small,[DECEA3]Хранилище:[-] Небольшая куча книг
cntBookPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Medium,[DECEA3]Хранилище:[-] Средняя куча книг
cntBookPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Large,[DECEA3]Хранилище:[-] Большая куча книг

zStorageUniversalVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Universal,[DECEA3]Хранилище:[-] Универсальное
zStorageUniversalVariantHelperDesc,blocks,Variant,,Universal Storage Set,Набор универсальных хранилищ.

MunitionsBoxArmyStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения
MunitionsBoxArmyRedStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения
MunitionsBoxArmyOrangeStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения
MunitionsBoxArmyGreenStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения
MunitionsBoxArmyBlueStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения

WeaponsBagSmallStorage,blocks,Container,,[DECEA3]Storage[-] Weapon Bag Small,[DECEA3]Хранилище:[-] Небольшая сумка для оружия
WeaponsBagBigStorage,blocks,Container,,[DECEA3]Storage[-] Weapon Bag Large,[DECEA3]Хранилище:[-] Большая сумка для оружия

PillCaseStorage,blocks,Container,,[DECEA3]Storage[-] Medical Cabinet,[DECEA3]Хранилище:[-] Шкафчик для медикаментов
GunRackSmallStorage,blocks,Container,,[DECEA3]Storage[-] Armor Rack Small,[DECEA3]Хранилище:[-] Малый стеллаж для брони
GunRackLargeStorage,blocks,Container,,[DECEA3]Storage[-] Gun Rack Large,[DECEA3]Хранилище:[-] Большая стойка для оружия
MannequinMilitaryCommandoStorage,blocks,Container,,[DECEA3]Storage[-] Mannequin,[DECEA3]Хранилище:[-] Манекен

zStorageBoxVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Boxes,[DECEA3]Хранилище:[-] Ящики
zStorageBoxVariantHelperDesc,blocks,Variant,,Set of drawers,Набор ящиков.

ShippingCrateShamwayStorage,blocks,Container,,[DECEA3]Storage[-] Shamway Box,[DECEA3]Хранилище:[-] Ящик «Срамвэй»
ShippingCrateLabEquipmentStorage,blocks,Container,,[DECEA3]Storage[-] Pop-N-Pills Box,[DECEA3]Хранилище:[-] Ящик «Шприцы и таблетки»
ShippingCrateBookStorage,blocks,Container,,[DECEA3]Storage[-] Crack-A-Book Box,[DECEA3]Хранилище:[-] Ящик «Книжный червь»
ShippingCrateCarPartsStorage,blocks,Container,,[DECEA3]Storage[-] Pass-N-Gas Box,[DECEA3]Хранилище:[-] Ящик «Притормози»
ShippingCrateShotgunMessiahStorage,blocks,Container,,[DECEA3]Storage[-] Shotgun Messiah Box,[DECEA3]Хранилище:[-] Ящик «Shotgun Messiah»
ShippingCrateWorkingStiffsStorage,blocks,Container,,[DECEA3]Storage[-] Working Stiff Box,[DECEA3]Хранилище:[-] Ящик «Пролетарий»
ShippingCrateSavageCountryStorage,blocks,Container,,[DECEA3]Storage[-] Savage Country Box,[DECEA3]Хранилище:[-] Ящик «Savage Country»
ShippingCrateMoPowerElectronicsStorage,blocks,Container,,[DECEA3]Storage[-] Mo Power Electronics Box,[DECEA3]Хранилище:[-] Ящик «Mo Power Electronics»

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_EliteZombies -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

zombieDemolitionElite,entityclasses,Entity,,[94CBFF]ELITE[-] Demolition,[94CBFF]ЭЛИТНЫЙ[-] Разрушитель
zombieFemaleFatElite,entityclasses,Entity,,[94CBFF]ELITE[-] Big Mama,[94CBFF]ЭЛИТНЫЙ[-] Толстуха
zombieFatHawaiianElite,entityclasses,Entity,,[94CBFF]ELITE[-] Tourist,[94CBFF]ЭЛИТНЫЙ[-] Турист
zombieCopElite,entityclasses,Entity,,[94CBFF]ELITE[-] Cop,[94CBFF]ЭЛИТНЫЙ[-] Полицейский

zombieWightElite,entityclasses,Entity,,[94CBFF]ELITE[-] Wight,[94CBFF]ЭЛИТНЫЙ[-] Упырь
zombieSoldierElite,entityclasses,Entity,,[94CBFF]ELITE[-] Soldier,[94CBFF]ЭЛИТНЫЙ[-] Солдат
zombieSkaterElite,entityclasses,Entity,,[94CBFF]ELITE[-] Skater,[94CBFF]ЭЛИТНЫЙ[-] Скейтер
zombieBikerElite,entityclasses,Entity,,[94CBFF]ELITE[-] Biker,[94CBFF]ЭЛИТНЫЙ[-] Байкер
zombieHazmatElite,entityclasses,Entity,,[94CBFF]ELITE[-] Hazmat,[94CBFF]ЭЛИТНЫЙ[-] Ликвидатор
zombieLumberjackElite,entityclasses,Entity,,[94CBFF]ELITE[-] Lumberjack,[94CBFF]ЭЛИТНЫЙ[-] Дровосек
zombieMoeElite,entityclasses,Entity,,[94CBFF]ELITE[-] Moe,[94CBFF]ЭЛИТНЫЙ[-] Пухляш
zombieUtilityWorkerElite,entityclasses,Entity,,[94CBFF]ELITE[-] Cop,[94CBFF]ЭЛИТНЫЙ[-] Строитель

zombieMarleneElite,entityclasses,Entity,,[94CBFF]ELITE[-] Marlene,[94CBFF]ЭЛИТНЫЙ[-] Марлин
zombieSpiderElite,entityclasses,Entity,,[94CBFF]ELITE[-] Spider,[94CBFF]ЭЛИТНЫЙ[-] Паук
zombieBoeElite,entityclasses,Entity,,[94CBFF]ELITE[-] Boe,[94CBFF]ЭЛИТНЫЙ[-] Бо
zombieDarleneElite,entityclasses,Entity,,[94CBFF]ELITE[-] Darlene,[94CBFF]ЭЛИТНЫЙ[-] Дарлин
zombieJoeElite,entityclasses,Entity,,[94CBFF]ELITE[-] Joe,[94CBFF]ЭЛИТНЫЙ[-] Джо
zombieSteveElite,entityclasses,Entity,,[94CBFF]ELITE[-] Steve,[94CBFF]ЭЛИТНЫЙ[-] Стив
zombieYoElite,entityclasses,Entity,,[94CBFF]ELITE[-] Yo,[94CBFF]ЭЛИТНЫЙ[-] Йо
zombieNurseElite,entityclasses,Entity,,[94CBFF]ELITE[-] Nurse,[94CBFF]ЭЛИТНЫЙ[-] Медсестра
zombiePartyGirlElite,entityclasses,Entity,,[94CBFF]ELITE[-] Party Girl,[94CBFF]ЭЛИТНЫЙ[-] Стриптизерша
zombieLabElite,entityclasses,Entity,,[94CBFF]ELITE[-] Lab Worker,[94CBFF]ЭЛИТНЫЙ[-] Лаборант
zombieTomClarkElite,entityclasses,Entity,,[94CBFF]ELITE[-] Tom Clark,[94CBFF]ЭЛИТНЫЙ[-] Том Кларк
zombieJanitorElite,entityclasses,Entity,,[94CBFF]ELITE[-] Janitor,[94CBFF]ЭЛИТНЫЙ[-] Механик
zombieBurntElite,entityclasses,Entity,,[94CBFF]ELITE[-] Burnt,[94CBFF]ЭЛИТНЫЙ[-] Тлеющий зомби
zombieBusinessManElite,entityclasses,Entity,,[94CBFF]ELITE[-] Business Man,[94CBFF]ЭЛИТНЫЙ[-] Бизнесмен
zombieInmateElite,entityclasses,Entity,,[94CBFF]ELITE[-] Inmate,[94CBFF]ЭЛИТНЫЙ[-] Заключенный

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_FearAndFatigue -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

buffNewbieCoatDesc,buffs,Buff,,There is no XP penalty on death. Also, the consumption rate of Strength and Stress Resistance has been reduced by [DECEA3]2 times[-] and the recovery rate of Strength and Stress Resistance has been increased.\n\nThis protection will decrease and disappear at level 10 so think ahead.,"При смерти нет штрафа на опыт. Также в [DECEA3]2 раза[-] снижена скорость расхода и увеличена скорость восстановления «Запас силы» и «Стрессоустойчивости».\n\nЗащита будет постепенно убывать и исчезнет на уровне 10, так что готовьтесь заранее."
buffNewbieCoatName,buffs,Buff,,Death XP Penalty Protection,Защита от штрафа на опыт при смерти.

buffFatigueWeakName,buffs,buff,,Slightly Fatigued, Легкая усталость
buffFatigueWeakTooltip,buffs,buff,,You are feeling slightly fatigued,Вы испытываете легкую усталость
buffFatigueWeakIncDesc,buffs,Buff,,"Your recent activities have affected your Reserve of strength. You are feeling slightly fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]5%[-]. Your carrying capacity has also been reduced by [DECEA3]3[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.","Ваши последние активности повлияли на ваш запас сил. Вы испытываете легкую усталость.\nСнижена на [DECEA3]5%[-] ваша скорость восстановления стамины и мобильность. Также грузоподъемность снижена на [DECEA3]3[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил."

buffFatigueModerateName,buffs,buff,,Moderate Fatigued, Умеренная усталость
buffFatigueModerateTooltip,buffs,buff,,You are feeling moderate fatigued,Вы испытываете умеренную усталость
buffFatigueModerateIncDesc,buffs,Buff,,"Your Reserve of strength has been significantly reduced. You are feeling moderate fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]10%[-]. Your carrying capacity has also been reduced by [DECEA3]6[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.","Ваш запас сил значительно снижен. Вы испытываете умеренную усталость.\nСнижена на [DECEA3]10%[-] ваша скорость восстановления стамины и мобильность. Также грузоподъемность снижена на [DECEA3]6[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил."

buffFatigueSevereName,buffs,buff,,Severe Fatigued, Сильная усталость
buffFatigueSevereTooltip,buffs,buff,,You are feeling severe fatigued,Вы испытываете сильную усталость
buffFatigueSevereIncDesc,buffs,Buff,,"There is almost no Reserve of strength left, and you are literally falling off your feet.. You are feeling severe fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]20%[-]. Your carrying capacity has also been reduced by [DECEA3]9[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.\n\nBe careful, if your Reserve of strength drops below 5% your jumps or starting to run will knock you down.","Запаса сил почти не осталось, и вы буквально валитесь с ног. Вы испытываете умеренную усталость.\nСнижена на [DECEA3]10%[-] ваша скорость восстановления стамины и мобильность. Также грузоподъемность снижена на [DECEA3]6[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил.\n\nБудьте осторожны, если запас сил упадет ниже 5% ,ваши прыжки или начало бега будет сбивать вас с ног."

buffStressWeakName,buffs,buff,,Slightly Stress, Легкий стресс
buffStressWeakTooltip,buffs,buff,,You are feeling slightly Stress,Вы испытываете легкий стресс
